time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-03-04T00:00:00.000000,594562.121898774,8.511e-05,7.977e-05,8.612e-05,7.871e-05,5792
2018-03-05T00:00:00.000000,509800.582378311,7.978e-05,8.035e-05,8.258e-05,7.888e-05,5808
2018-03-06T00:00:00.000000,422400.807084123,8.039e-05,7.75e-05,8.143e-05,7.75e-05,4868
2018-03-08T00:00:00.000000,288.0,7.154e-05,7e-05,7.154e-05,7e-05,3
2018-03-09T00:00:00.000000,175959.0,7.014e-05,6.846e-05,7.334e-05,6.787e-05,1660
2018-03-10T00:00:00.000000,503606.0,6.843e-05,6.966e-05,6.969e-05,6.509e-05,5697
2018-03-11T00:00:00.000000,619231.878626709,6.96e-05,7.192e-05,7.856e-05,6.918e-05,6015
2018-03-12T00:00:00.000000,526006.086389009,7.189e-05,7.194e-05,7.346e-05,6.871e-05,5804
2018-03-13T00:00:00.000000,1444940.7425607,7.199e-05,6.856e-05,7.4e-05,6.79e-05,3927
2018-03-14T00:00:00.000000,1058578.946970137,6.901e-05,6.462e-05,7.037e-05,6.09e-05,3811
2018-03-15T00:00:00.000000,2015251.876770694,6.462e-05,6.277e-05,6.659e-05,6.249e-05,5862
2018-03-16T00:00:00.000000,1900680.209279529,6.289e-05,5.86e-05,6.324e-05,5.829e-05,5568
2018-03-17T00:00:00.000000,1927579.958482829,5.863e-05,6.075e-05,6.299e-05,5.75e-05,5763
2018-03-18T00:00:00.000000,1764004.948631859,6.071e-05,5.621e-05,6.105e-05,5.617e-05,5243
2018-03-19T00:00:00.000000,254226.0,5.623e-05,5.389e-05,5.643e-05,5.155e-05,671
2018-03-20T00:00:00.000000,1675605.104441233,5.392e-05,5.461e-05,5.5e-05,5.191e-05,4781
2018-03-21T00:00:00.000000,1742486.066884719,5.472e-05,6.009e-05,6.358e-05,5.442e-05,5196
2018-03-22T00:00:00.000000,1682141.116413225,6.01e-05,6.537e-05,6.859e-05,6.002e-05,5236
2018-03-23T00:00:00.000000,1566102.744548687,6.557e-05,6.658e-05,7.247e-05,6.425e-05,4935
2018-03-24T00:00:00.000000,2043907.37979226,6.66e-05,6.305e-05,6.742e-05,6.041e-05,5288
2018-03-25T00:00:00.000000,2134841.427187972,6.304e-05,6.979e-05,7.039e-05,6.159e-05,5473
2018-03-26T00:00:00.000000,1808457.301180077,6.974e-05,7.074e-05,7.173e-05,6.613e-05,5480
2018-03-27T00:00:00.000000,3744522.390713676,7.078e-05,8.016e-05,0.00011241,6.366e-05,8308
2018-03-28T00:00:00.000000,2171296.246659967,8.022e-05,8.178e-05,8.867e-05,7.21e-05,5361
2018-03-29T00:00:00.000000,2295109.054156196,8.17e-05,8.009e-05,8.244e-05,7.641e-05,5908
2018-03-30T00:00:00.000000,2200986.723016484,8.013e-05,7.545e-05,8.9e-05,7.158e-05,5616
2018-03-31T00:00:00.000000,2073669.86497785,7.548e-05,7.466e-05,8.272e-05,7.071e-05,5403
2018-04-01T00:00:00.000000,2063651.234933545,7.468e-05,7.862e-05,8.039e-05,7.414e-05,5351
2018-04-02T00:00:00.000000,2103666.875788754,7.865e-05,7.39e-05,8.232e-05,7.241e-05,5386
2018-04-03T00:00:00.000000,2000647.426844345,7.39e-05,7.536e-05,7.826e-05,7.338e-05,5293
2018-04-04T00:00:00.000000,2026950.36431888,7.533e-05,7.972e-05,8.5e-05,7.28e-05,5489
2018-04-05T00:00:00.000000,2025172.572765951,7.974e-05,7.651e-05,7.996e-05,7.382e-05,5217
2018-04-06T00:00:00.000000,3184084.693731867,7.653e-05,8.03e-05,0.0001038,7.521e-05,6835
2018-04-07T00:00:00.000000,1580220.801959249,8.018e-05,7.848e-05,8.285e-05,7.657e-05,5263
2018-04-08T00:00:00.000000,2085767.14898749,7.847e-05,7.815e-05,7.946e-05,7.58e-05,5176
2018-04-09T00:00:00.000000,1874368.635949329,7.816e-05,8.134e-05,8.461e-05,7.722e-05,5135
2018-04-10T00:00:00.000000,2187303.153761728,8.126e-05,7.983e-05,8.383e-05,7.862e-05,5330
2018-04-11T00:00:00.000000,2019192.914913471,7.982e-05,8.212e-05,8.354e-05,7.936e-05,5121
2018-04-12T00:00:00.000000,4721328.119252073,8.198e-05,8.605e-05,9.256e-05,8.15e-05,7987
2018-04-13T00:00:00.000000,2780284.171282508,8.603e-05,8.792e-05,9.095e-05,8.201e-05,6153
2018-04-14T00:00:00.000000,2677126.684041542,8.806e-05,8.661e-05,9.013e-05,8.392e-05,6197
2018-04-15T00:00:00.000000,2485959.703722524,8.657e-05,9.241e-05,9.304e-05,8.524e-05,6062
2018-04-16T00:00:00.000000,2345283.379250711,9.241e-05,9.523e-05,9.648e-05,9.065e-05,5772
2018-04-17T00:00:00.000000,2833296.620731751,9.509e-05,9.307e-05,9.63e-05,9.093e-05,6341
2018-04-18T00:00:00.000000,2853339.88391484,9.332e-05,0.00010577,0.00010909,9.192e-05,6452
2018-04-19T00:00:00.000000,2710288.929467339,0.00010583,0.00011323,0.00011514,0.00010395,6559
2018-04-20T00:00:00.000000,2458787.495156232,0.00011355,0.00011019,0.00011357,0.00010694,6040
2018-04-21T00:00:00.000000,2135403.514769596,0.00011019,0.0001118,0.00011349,0.00010763,5283
2018-04-22T00:00:00.000000,2292501.825195359,0.00011168,0.00010344,0.00011253,9.706e-05,5729
2018-04-23T00:00:00.000000,2087180.082320809,0.00010352,0.00011239,0.00011773,0.00010205,5498
2018-04-24T00:00:00.000000,1619481.657821355,0.00011246,0.00011247,0.00011836,0.00010907,4415
2018-04-25T00:00:00.000000,2198658.90335342,0.00011236,0.0001202,0.00012477,0.00010988,6190
