time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-06-12T00:00:00.000000,843929.853,1.0532,1.0658,1.0794,1.0,7309
2018-06-13T00:00:00.000000,1058527.958,1.0674,0.9045,1.0693,0.8834,7398
2018-06-14T00:00:00.000000,792746.732,0.902,0.8156,0.92,0.7888,6324
2018-06-15T00:00:00.000000,848657.531,0.8141,0.9428,0.9882,0.8078,7197
2018-06-16T00:00:00.000000,833363.764,0.9401,0.872,0.9591,0.8622,6988
2018-06-17T00:00:00.000000,989921.158,0.8723,0.8723,0.8937,0.8373,7022
2018-06-18T00:00:00.000000,716317.367,0.8723,0.8373,0.8909,0.8357,6841
2018-06-19T00:00:00.000000,816426.191,0.841,0.8698,0.8907,0.8116,7053
2018-06-20T00:00:00.000000,955859.054,0.8692,0.8793,0.9152,0.8363,7122
2018-06-21T00:00:00.000000,838715.211,0.8801,0.8823,0.9016,0.8338,6970
2018-06-22T00:00:00.000000,668096.768,0.8791,0.8518,0.8957,0.8469,6751
2018-06-23T00:00:00.000000,790708.427,0.8529,0.7385,0.8533,0.685,7205
2018-06-24T00:00:00.000000,726692.63,0.7369,0.7229,0.76,0.6915,6780
2018-06-25T00:00:00.000000,785660.89,0.7238,0.6782,0.7265,0.6003,7059
2018-06-26T00:00:00.000000,807582.712,0.6794,0.7066,0.7073,0.6546,6961
2018-06-27T00:00:00.000000,732333.717,0.7058,0.6227,0.7094,0.6223,6913
2018-06-28T00:00:00.000000,736155.002,0.6248,0.6457,0.6481,0.6076,6963
2018-06-29T00:00:00.000000,672039.914,0.646,0.6048,0.6642,0.6027,6423
2018-06-30T00:00:00.000000,960781.562,0.6062,0.6605,0.6783,0.58,7173
2018-07-01T00:00:00.000000,1308372.125,0.6614,0.7602,0.8262,0.6591,7987
2018-07-02T00:00:00.000000,855781.166,0.759,0.8016,0.8331,0.7365,7089
2018-07-03T00:00:00.000000,1379577.042,0.8002,0.9713,1.0089,0.7887,8606
2018-07-04T00:00:00.000000,1015266.511,0.9692,0.8844,0.9747,0.8722,7556
2018-07-05T00:00:00.000000,963136.276,0.8833,0.9243,0.9987,0.8572,7390
2018-07-06T00:00:00.000000,1904205.138,0.9237,1.0009,1.132,0.9123,8546
2018-07-07T00:00:00.000000,1041115.864,0.999,1.0106,1.045,0.9267,7223
2018-07-08T00:00:00.000000,705965.805,1.0143,0.9972,1.019,0.92,6702
2018-07-09T00:00:00.000000,718536.436,0.9933,0.9637,1.01,0.96,6762
2018-07-10T00:00:00.000000,702893.776,0.9671,0.9097,0.9777,0.9075,6722
2018-07-11T00:00:00.000000,693015.527,0.909,0.8132,0.9102,0.8125,6226
2018-07-12T00:00:00.000000,682871.495,0.8144,0.8341,0.857,0.7709,6622
2018-07-13T00:00:00.000000,564880.321,0.8328,0.7789,0.8403,0.7472,5961
2018-07-14T00:00:00.000000,1129903.805,0.7794,0.9644,1.0276,0.7767,8262
2018-07-15T00:00:00.000000,846299.712,0.9635,0.9892,1.0284,0.9212,5827
2018-07-16T00:00:00.000000,1304765.199,0.9909,1.1174,1.19,0.9587,7437
2018-07-17T00:00:00.000000,1181513.411,1.1147,1.1538,1.1995,1.0881,7946
2018-07-18T00:00:00.000000,1077468.488,1.1532,1.2463,1.3059,1.0888,7786
2018-07-19T00:00:00.000000,1000142.576,1.2456,1.2082,1.3232,1.1636,7191
2018-07-20T00:00:00.000000,705383.863,1.2074,1.2536,1.2795,1.19,6433
2018-07-21T00:00:00.000000,1014369.856,1.2521,1.0599,1.2546,1.0468,7592
2018-07-22T00:00:00.000000,1147374.775,1.0591,1.1527,1.2164,1.029,7344
2018-07-23T00:00:00.000000,956087.402,1.1514,1.1237,1.2058,1.1202,7230
2018-07-24T00:00:00.000000,820431.304,1.1208,1.1353,1.1984,1.11,6636
2018-07-25T00:00:00.000000,1062380.503,1.1385,1.1186,1.1752,1.0521,8258
2018-07-26T00:00:00.000000,1129796.242,1.1184,1.1755,1.1877,1.1059,7513
2018-07-27T00:00:00.000000,740102.608,1.1751,1.0813,1.1984,1.0541,6675
2018-07-28T00:00:00.000000,847993.044,1.078,1.1469,1.1804,1.0463,6885
2018-07-29T00:00:00.000000,887005.463,1.1466,1.2431,1.2487,1.136,7076
2018-07-30T00:00:00.000000,699725.944,1.2462,1.2147,1.25,1.1788,6519
2018-07-31T00:00:00.000000,824550.855,1.2138,1.1507,1.2275,1.0686,6634
2018-08-01T00:00:00.000000,806606.059,1.1528,1.1086,1.1528,1.03,6825
2018-08-02T00:00:00.000000,668964.561,1.1106,1.0526,1.1153,1.0114,5809
2018-08-03T00:00:00.000000,635242.348,1.0535,0.9491,1.0703,0.9491,6039
2018-08-04T00:00:00.000000,671310.324,0.9476,0.9585,1.0177,0.8763,6398
2018-08-05T00:00:00.000000,738443.656,0.9602,0.9395,0.997,0.888,6795
2018-08-06T00:00:00.000000,674403.362,0.936,0.9567,0.9733,0.9108,6301
2018-08-07T00:00:00.000000,693702.508,0.9557,0.9451,1.024,0.9346,6455
2018-08-08T00:00:00.000000,820856.657,0.9446,0.9002,1.0453,0.8989,7291
2018-08-09T00:00:00.000000,868327.358,0.9013,0.8414,0.9042,0.7954,7333
2018-08-10T00:00:00.000000,709666.056,0.8428,0.9374,0.9375,0.8362,6929
2018-08-11T00:00:00.000000,779299.879,0.9369,0.8605,0.9431,0.8224,7349
2018-08-12T00:00:00.000000,294364.672,0.8618,0.8363,0.8672,0.8195,2781
